,gender,age,year,eyecolor,height,miles,brothers,sisters,computertime,exercise,exercisehours,musiccds,playgames,watchtv
580,male,20,third,brown,74.0,235.0,1,1,10.0,Yes,10.0,189.0,0.0,3.0
65,female,20,second,blue,64.0,150.0,0,3,7.0,No,0.0,150.0,0.0,28.0
683,male,21,fourth,green,76.0,40.0,0,2,4.0,Yes,6.0,330.0,10.0,6.0
777,male,20,second,blue,77.0,75.0,2,0,14.0,No,0.0,45.0,2.0,15.0
452,male,21,other,brown,69.0,170.0,2,0,15.0,Yes,2.0,20.0,0.0,10.0
67,male,20,second,brown,70.0,11.0,3,1,7.0,Yes,10.0,5.0,14.0,40.0
368,male,20,third,brown,72.0,328.0,1,0,21.0,Yes,8.0,350.0,0.0,15.0
226,female,18,first,blue,67.0,90.0,2,1,4.0,Yes,3.0,3.0,0.0,8.0
599,female,21,fourth,hazel,67.0,0.0,0,1,10.0,Yes,5.0,40.0,2.0,21.0
2023,female,18,first,blue,69.0,100.0,0,1,10.0,Yes,4.0,100.0,0.0,15.0
1479,female,20,second,other,62.0,57.0,1,0,14.0,Yes,0.0,100.0,1.0,7.0
876,male,27,fourth,brown,72.0,800.0,3,0,10.0,No,0.0,125.0,5.0,10.0
1858,female,18,first,blue,63.0,180.0,0,1,8.0,No,0.0,50.0,0.0,15.0
1257,male,18,first,blue,76.0,50.0,0,1,24.0,Yes,10.0,125.0,2.0,6.0
1017,female,20,third,green,68.0,150.0,1,0,3.0,No,0.0,10.0,3.0,1.0
1549,male,19,second,hazel,72.0,375.0,1,0,5.0,Yes,4.0,30.0,0.0,3.0
491,female,22,other,green,70.0,45.0,2,2,10.0,Yes,4.0,100.0,2.0,12.0
1401,male,20,second,blue,70.0,157.0,1,4,28.0,No,0.0,45.0,0.0,2.0
1827,female,20,second,hazel,64.0,80.0,1,2,8.0,No,0.0,15.0,0.0,5.0
70,female,18,second,green,67.0,80.0,1,0,70.0,No,0.0,56.0,0.0,5.0
169,female,20,second,brown,63.0,390.0,2,1,50.0,No,0.0,85.0,2.0,12.0
1752,male,19,second,brown,73.0,120.0,1,0,8.0,Yes,5.0,15.0,8.0,20.0
1764,female,20,third,blue,44.0,30.0,0,1,7.0,Yes,4.0,200.0,0.0,5.0
766,female,18,first,blue,65.0,359.0,2,1,2.0,No,0.0,30.0,0.0,10.0
86,male,22,other,blue,68.0,0.0,2,0,10.0,No,0.0,150.0,2.0,15.0
647,female,19,second,green,69.0,90.0,1,1,4.0,Yes,5.0,20.0,0.0,15.0
1327,female,26,other,green,70.0,1132.0,0,1,50.0,Yes,5.0,40.0,0.0,0.0
772,male,20,second,brown,73.0,200.0,0,0,28.0,Yes,7.0,150.0,0.0,7.0
1394,male,20,second,brown,69.0,30.0,2,0,15.0,No,0.0,200.0,3.0,20.0
1907,male,20,second,hazel,72.0,120.0,0,3,10.0,Yes,12.0,0.0,4.0,5.0
1568,male,28,fourth,blue,71.0,200.0,1,0,10.0,No,0.0,50.0,0.0,10.0
182,male,28,other,hazel,72.0,110.0,3,1,6.0,No,0.0,100.0,2.0,21.0
1156,male,19,second,blue,73.0,105.0,0,2,4.0,No,0.0,15.0,3.0,3.0
820,female,20,second,hazel,62.0,48.0,1,0,3.0,Yes,2.0,45.0,2.0,8.0
792,female,20,third,brown,66.0,3000.0,3,0,10.0,No,0.0,100.0,5.0,20.0
1560,female,19,second,hazel,62.0,150.0,1,0,4.0,Yes,2.0,32.0,2.0,2.0
1679,male,20,third,brown,79.0,180.0,1,0,35.0,Yes,3.0,15.0,0.0,8.0
2033,female,25,fourth,blue,64.0,0.0,0,2,20.0,No,0.0,20.0,5.0,4.0
337,female,19,second,blue,65.0,2000.0,0,1,3.0,Yes,2.0,30.0,1.0,4.0
1197,female,19,second,blue,63.0,170.0,1,1,6.0,Yes,8.0,100.0,0.0,2.0
1925,female,21,third,blue,64.0,1200.0,1,2,3.0,Yes,5.0,200.0,0.0,20.0
1911,male,19,second,brown,75.0,15.0,0,1,4.0,Yes,0.0,5.0,15.0,3.0
1789,female,31,other,blue,68.0,234.0,1,1,21.0,No,0.0,1000.0,2.0,4.5
604,male,19,second,brown,76.0,1381.0,0,1,5.0,Yes,3.5,36.0,10.0,15.0
1924,female,19,second,green,63.0,250.0,1,1,20.0,No,0.0,75.0,2.0,4.0
121,female,19,second,brown,69.0,70.0,1,0,15.0,Yes,2.0,40.0,5.0,10.0
1751,male,23,fourth,brown,72.0,6159.0,1,1,20.0,No,0.0,50.0,5.0,20.0
1565,male,20,second,blue,70.0,200.0,2,0,15.0,Yes,0.0,100.0,4.0,10.0
1048,male,19,first,green,72.0,12.0,0,1,17.5,No,0.0,70.0,2.0,4.0
1760,male,20,second,blue,68.0,200.0,1,2,5.0,Yes,4.0,20.0,1.0,3.0
92,female,20,third,brown,60.0,30.0,0,1,7.0,No,0.0,50.0,0.0,25.0
1730,male,20,third,blue,69.0,1750.0,1,1,10.0,Yes,16.0,50.0,10.0,30.0
814,female,39,fourth,hazel,67.0,40.0,1,1,4.0,Yes,5.0,30.0,0.0,10.0
1250,female,19,first,brown,67.0,312.0,1,0,8.0,Yes,4.0,70.0,3.0,8.0
691,female,20,third,brown,67.0,62.0,2,1,10.0,No,0.0,50.0,3.0,30.0
1920,male,22,second,green,66.0,4000.0,2,0,30.0,Yes,3.0,120.0,5.0,10.0
531,female,18,second,blue,66.0,889.0,2,0,4.0,No,0.0,35.0,2.0,4.0
990,male,23,other,blue,72.0,90.0,3,1,6.0,No,0.0,10.0,2.0,20.0
665,female,20,third,blue,71.0,150.0,1,2,21.0,No,0.0,2.0,2.0,14.0
1795,female,19,third,brown,66.0,75.0,1,0,8.0,Yes,3.0,200.0,2.0,8.0
2024,male,18,first,blue,71.0,60.0,1,1,6.0,Yes,6.0,10.0,8.0,5.0
453,female,19,second,blue,67.0,120.0,0,1,15.0,No,0.0,100.0,15.0,30.0
833,male,21,third,brown,65.0,200.0,1,1,24.0,Yes,4.0,200.0,1.0,8.0
279,male,18,first,brown,70.0,5000.0,1,0,15.0,Yes,4.0,50.0,20.0,15.0
1822,female,19,second,brown,60.0,170.0,1,1,15.0,Yes,10.0,5.0,0.0,4.0
1692,male,20,third,brown,69.0,90.0,1,1,25.0,Yes,8.0,60.0,1.0,2.0
1322,male,26,fourth,brown,72.0,30.0,0,1,3.0,No,0.0,100.0,0.0,28.0
1851,male,20,second,brown,70.0,3500.0,1,0,6.0,No,0.0,20.0,0.0,4.0
139,female,19,second,blue,67.0,40.0,1,2,2.0,Yes,3.0,60.0,0.0,10.0
2064,female,20,third,green,64.0,90.0,0,2,12.0,Yes,12.0,100.0,1.0,5.0
1782,male,20,third,hazel,70.0,65.0,0,0,15.0,Yes,1.0,266.0,12.0,2.0
1961,female,19,second,brown,65.0,0.0,2,0,24.0,No,0.0,50.0,3.0,12.0
2008,female,22,fourth,brown,66.0,120.0,0,1,25.0,No,0.0,20.0,0.0,0.0
1318,female,21,fourth,brown,62.0,10.0,3,2,10.0,Yes,3.0,30.0,2.0,5.0
2053,male,21,fourth,brown,68.0,236.0,1,1,10.0,No,0.0,50.0,1.0,10.0
1592,male,20,third,brown,72.0,330.0,0,1,35.0,No,0.0,30.0,13.0,20.0
986,male,20,second,brown,69.0,20.0,0,0,6.0,Yes,2.0,100.0,5.0,6.0
421,female,20,third,brown,65.0,200.0,0,1,16.0,Yes,3.0,60.0,1.0,8.0
2002,male,21,fourth,blue,73.0,250.0,1,0,12.0,Yes,4.0,100.0,1.0,8.0
2037,female,20,second,blue,63.0,450.0,0,1,5.0,Yes,4.0,75.0,8.0,8.0
1159,male,19,first,hazel,74.0,137.0,0,1,10.0,No,0.0,55.0,0.5,20.0
839,male,20,second,green,76.0,180.0,0,2,6.0,Yes,13.0,40.0,1.0,5.0
257,male,22,fourth,blue,73.0,290.0,1,1,7.0,Yes,5.0,100.0,10.0,10.0
1838,male,21,third,blue,72.0,25.0,0,1,15.0,Yes,8.0,20.0,0.0,7.0
805,female,19,second,green,65.0,211.0,0,4,6.0,No,0.0,60.0,7.0,7.0
302,male,19,second,blue,68.0,280.0,1,0,30.0,No,0.0,400.0,1.0,20.0
110,male,18,first,green,72.0,360.0,1,0,5.0,Yes,5.0,100.0,5.0,10.0
1474,female,19,second,blue,67.0,350.0,1,1,6.0,Yes,8.0,100.0,0.0,1.0
174,male,25,fourth,brown,70.0,15.0,3,1,5.0,No,0.0,100.0,2.0,5.0
181,female,18,first,brown,65.0,80.0,1,1,10.0,Yes,2.0,95.0,1.0,3.0
1452,male,27,other,blue,74.0,100.0,2,2,2.0,No,0.0,60.0,0.0,10.0
14,male,19,first,blue,70.0,40.0,0,0,5.0,No,0.0,150.0,3.0,2.0
292,female,18,first,brown,67.0,181.0,1,0,15.0,No,0.0,82.0,0.0,15.0
2010,male,20,third,blue,70.0,50.0,0,0,20.0,Yes,3.0,200.0,0.0,7.0
1472,male,21,third,hazel,68.0,20.0,1,2,6.0,Yes,7.0,3.0,6.0,3.0
261,female,22,third,brown,68.0,95.0,0,2,10.0,Yes,6.5,55.0,2.0,12.0
1686,female,21,third,blue,69.0,230.0,1,0,11.0,Yes,10.0,75.0,1.0,10.0
1121,female,22,fourth,brown,61.0,35.0,0,1,20.0,Yes,6.0,50.0,5.0,20.0
601,female,19,second,blue,67.0,120.0,1,2,6.0,Yes,0.0,125.0,0.0,4.0
583,female,20,third,brown,64.0,300.0,0,3,10.0,No,0.0,50.0,0.0,10.0
247,female,20,second,brown,73.0,173.0,1,1,8.0,Yes,20.0,100.0,0.0,3.0
1523,female,19,second,brown,62.0,120.0,2,1,25.0,No,0.0,25.0,0.0,0.0
532,female,20,third,green,67.0,120.0,2,0,5.0,No,0.0,200.0,0.0,5.0
577,male,20,third,hazel,72.0,180.0,0,0,5.0,No,0.0,100.0,10.0,10.0
677,male,19,second,hazel,72.0,120.0,1,1,16.0,Yes,9.0,70.0,3.0,5.0
1738,male,20,second,brown,63.0,55.0,1,2,15.0,Yes,4.5,15.0,4.0,13.0
1355,male,20,third,green,78.0,200.0,0,0,10.0,Yes,9.0,20.0,10.0,10.0
891,female,19,second,green,67.0,280.0,2,0,4.0,Yes,2.0,164.0,0.0,2.0
878,female,27,third,hazel,67.0,0.0,2,1,2.0,No,0.0,108.0,1.0,4.0
1689,female,20,third,blue,64.0,50.0,1,0,10.0,No,0.0,20.0,0.0,15.0
1380,female,20,third,hazel,69.0,65.0,1,1,14.0,Yes,10.0,46.0,5.0,7.0
1857,male,21,third,hazel,72.0,200.0,0,1,20.0,No,0.0,1000.0,1.0,4.0
1700,male,19,third,hazel,74.0,100.0,2,0,5.0,Yes,7.0,25.0,6.0,6.0
1361,female,21,third,brown,70.0,190.0,0,1,8.0,Yes,3.0,5.0,8.0,1.0
162,female,19,second,green,77.0,105.0,2,0,10.0,Yes,8.0,120.0,1.0,3.0
809,female,20,second,brown,62.0,220.0,1,0,10.0,No,0.0,10.0,0.0,3.0
778,female,20,third,blue,68.0,175.0,1,2,7.0,No,0.0,75.0,7.0,6.0
30,female,22,fourth,brown,66.0,300.0,1,0,1.0,Yes,1.0,50.0,1.0,1.0
1519,male,20,third,blue,73.0,40.0,2,1,5.0,Yes,0.0,20.0,10.0,25.0
1688,male,21,third,brown,74.0,193.0,0,1,17.5,Yes,2.0,100.0,0.0,22.5
41,male,20,second,blue,72.0,120.0,0,1,4.0,Yes,10.0,56.0,12.0,8.0
345,female,18,first,brown,67.0,0.0,0,2,5.0,Yes,5.0,15.0,0.0,15.0
299,male,21,third,blue,74.0,100.0,1,1,1.0,Yes,3.0,50.0,1.0,5.0
1239,female,20,second,brown,70.0,247.0,0,2,4.0,Yes,3.0,75.0,0.0,4.0
1905,male,19,first,green,75.0,60.0,3,0,6.0,Yes,2.0,0.0,4.0,2.0
589,male,21,third,blue,70.0,100.0,2,0,2.0,Yes,7.0,10.0,0.0,10.0
485,male,20,third,blue,71.0,168.0,0,1,5.0,No,0.0,20.0,1.0,16.0
928,male,20,second,hazel,75.0,120.0,2,0,12.0,Yes,15.0,100.0,0.0,5.0
352,female,22,other,brown,60.0,30.0,3,0,8.0,Yes,5.0,150.0,0.0,4.0
807,female,19,second,blue,68.0,370.0,0,3,25.0,No,0.0,25.0,0.0,14.0
1408,female,20,third,brown,67.0,65.0,2,0,4.0,No,0.0,20.0,0.0,25.0
1794,female,19,second,hazel,66.0,375.0,1,1,10.0,No,0.0,45.0,0.0,15.0
435,female,21,fourth,brown,62.0,185.0,4,4,2.0,No,0.0,40.0,0.0,2.0
1640,female,19,second,blue,64.0,150.0,1,1,20.0,Yes,2.0,30.0,10.0,8.0
913,male,23,other,brown,75.0,165.0,1,1,8.0,Yes,14.0,75.0,7.5,45.0
97,female,20,second,blue,62.0,130.0,2,1,25.0,No,0.0,10.0,0.0,8.0
1835,female,20,second,blue,68.0,130.0,0,2,15.0,Yes,8.0,12.0,0.0,2.0
416,female,24,other,blue,66.0,45.0,0,0,8.0,No,0.0,30.0,0.0,14.0
1274,female,20,second,blue,66.0,65.0,0,2,15.0,Yes,3.0,25.0,0.0,10.0
946,female,19,first,blue,66.0,270.0,1,0,6.0,No,0.0,100.0,0.0,0.0
1297,male,23,third,blue,69.0,170.0,0,1,2.0,Yes,14.0,53.0,0.0,5.0
671,male,21,third,blue,70.0,198.0,2,0,85.0,Yes,4.0,50.0,1.0,15.0
479,male,20,third,blue,70.0,181.0,0,2,25.0,Yes,5.0,10.0,3.0,10.0
96,female,20,third,other,70.0,22.0,3,0,10.0,No,0.0,15.0,1.0,3.0
444,male,20,third,green,67.0,48.0,0,1,3.0,Yes,2.0,150.0,0.0,3.0
1439,female,20,third,hazel,66.0,180.0,0,2,10.0,No,0.0,10.0,0.0,2.0
1876,male,22,fourth,blue,70.0,90.0,1,1,2.0,Yes,12.0,0.0,10.0,10.0
579,female,19,second,brown,66.0,60.0,2,1,20.0,No,0.0,100.0,1.0,21.0
938,male,21,fourth,blue,72.0,120.0,2,0,20.0,Yes,5.0,15.0,2.0,2.0
141,female,20,third,blue,66.0,260.0,1,1,7.0,No,0.0,34.0,1.0,15.0
1398,male,29,second,blue,69.0,6300.0,0,4,24.0,No,0.0,2.0,7.0,1.0
340,male,24,fourth,blue,74.0,105.0,0,2,14.0,No,0.0,127.0,1.0,8.0
1462,male,20,fourth,brown,76.0,250.0,0,5,3.0,Yes,9.0,239.0,4.0,3.0
811,female,21,third,brown,61.0,0.0,0,2,2.5,Yes,5.0,50.0,1.0,5.0
1008,male,21,third,hazel,70.0,196.0,2,0,40.0,No,0.0,120.0,12.0,7.0
1035,female,20,third,green,61.0,75.0,4,2,12.0,No,0.0,200.0,2.0,10.0
1393,male,19,second,green,72.0,15.0,0,2,4.0,Yes,4.0,20.0,1.0,4.0
1931,female,20,second,brown,67.0,20.0,2,2,42.0,No,0.0,2.0,1.0,3.0
398,female,22,other,hazel,63.0,365.0,0,1,20.0,Yes,5.0,180.0,3.0,8.0
1777,female,20,third,brown,65.0,40.0,2,0,40.0,No,0.0,60.0,2.0,1.0
1040,male,23,fourth,blue,69.0,30.0,1,2,14.0,Yes,6.0,250.0,2.0,21.0
972,female,19,second,green,67.0,50.0,1,0,3.0,Yes,2.0,100.0,1.0,3.0
1904,female,19,second,brown,65.0,30.0,1,1,25.0,No,0.0,78.0,0.0,30.0
1708,female,19,second,green,70.0,200.0,1,1,25.0,Yes,8.0,50.0,0.0,5.0
755,female,21,third,blue,68.0,15.0,1,1,3.0,Yes,10.0,100.0,0.0,15.0
1657,female,22,other,brown,62.0,10.0,4,2,5.0,No,0.0,50.0,0.0,15.0
2047,female,20,third,blue,67.0,180.0,1,0,6.0,Yes,2.0,50.0,0.0,10.0
1917,female,19,first,blue,64.0,250.0,2,1,8.0,No,0.0,25.0,2.0,10.0
854,male,18,first,brown,73.0,1528.0,0,1,60.0,No,0.0,25.0,3.0,22.0
1451,male,19,second,blue,71.0,180.0,2,0,7.0,Yes,5.0,50.0,1.0,10.0
170,female,19,third,brown,65.0,6000.0,0,1,15.0,No,0.0,27.0,0.0,20.0
1358,male,20,second,brown,75.0,2500.0,4,0,14.0,No,0.0,5.0,1.0,10.0
307,male,21,second,blue,68.0,55.0,1,1,3.0,Yes,18.0,40.0,0.0,12.0
662,female,23,other,hazel,62.0,180.0,1,0,5.0,No,0.0,40.0,0.0,10.0
196,male,23,third,blue,67.0,90.0,1,1,7.0,Yes,4.5,110.0,1.0,2.0
360,female,20,second,brown,69.0,100.0,1,0,10.0,Yes,21.0,100.0,0.0,5.0
1866,male,24,other,brown,69.0,184.0,1,1,14.0,Yes,6.0,8.0,4.0,14.0
1968,male,24,fourth,brown,73.0,120.0,1,0,20.0,No,0.0,100.0,5.0,21.0
726,female,20,third,hazel,65.0,30.0,0,1,7.0,Yes,3.0,100.0,0.0,10.0
180,male,21,other,blue,71.0,220.0,0,1,5.0,No,0.0,102.0,10.0,20.0
2030,female,19,first,blue,68.0,200.0,1,1,10.0,Yes,6.0,50.0,0.0,1.0
1057,female,19,second,brown,70.0,75.0,0,1,50.0,No,0.0,30.0,1.0,4.0
34,male,21,third,green,70.0,80.0,0,2,10.0,No,0.0,50.0,10.0,30.0
1643,female,23,fourth,brown,65.0,120.0,1,1,6.0,Yes,3.0,20.0,0.0,10.0
1890,female,21,third,green,54.0,64.0,1,1,10.0,Yes,3.0,113.0,0.0,6.0
1634,male,20,third,hazel,76.0,450.0,0,0,10.0,Yes,8.0,10.0,3.0,20.0
48,male,21,third,brown,66.0,0.0,1,2,5.0,Yes,5.0,0.0,10.0,30.0
1106,male,20,second,blue,73.0,200.0,1,0,22.0,Yes,3.5,5.0,2.0,10.5
1938,male,20,third,green,72.0,115.0,2,1,10.0,No,0.0,50.0,30.0,20.0
1597,male,19,second,green,73.0,137.0,2,3,14.0,No,0.0,0.0,2.0,2.0
1131,male,21,third,hazel,69.0,175.0,0,2,12.0,Yes,4.0,150.0,8.0,6.0
933,male,19,second,brown,69.0,300.0,2,1,3.0,Yes,2.0,200.0,10.0,10.0
506,male,21,fourth,blue,73.0,200.0,0,1,10.0,Yes,6.0,150.0,3.0,5.0
413,female,20,third,brown,62.0,205.0,0,1,6.0,Yes,4.0,60.0,0.0,2.0
643,female,20,third,hazel,70.0,333.0,1,0,7.0,No,0.0,50.0,0.5,5.0
977,male,20,second,brown,72.0,120.0,0,0,10.0,Yes,7.0,53.0,10.0,15.0
2059,male,19,first,brown,69.0,100.0,3,0,2.0,No,0.0,2.0,1.0,6.0
1935,female,19,second,blue,57.0,300.0,0,1,15.0,No,0.0,25.0,0.0,15.0
1385,female,18,first,brown,70.0,70.0,2,0,10.0,Yes,5.0,25.0,0.0,1.0
617,male,20,third,brown,76.0,375.0,1,1,20.0,Yes,8.0,35.0,1.0,5.0
1802,male,18,first,brown,70.0,186.0,1,1,10.0,No,0.0,20.0,15.0,30.0
1031,male,20,first,blue,70.0,75.0,0,1,10.0,Yes,5.0,80.0,5.0,20.0
1975,male,23,third,hazel,72.0,209.0,1,1,20.0,Yes,10.0,100.0,0.0,20.0
161,male,24,fourth,green,74.0,189.0,2,1,6.0,Yes,5.0,25.0,1.0,25.0
361,male,21,third,brown,70.0,200.2,0,1,5.0,No,0.0,50.0,0.5,5.0
383,male,19,first,brown,70.0,510.0,1,1,10.0,Yes,5.0,30.0,1.0,10.0
1010,female,18,first,brown,68.0,35.0,0,1,5.0,No,0.0,20.0,10.0,4.0
709,female,19,second,brown,64.0,25.0,0,1,9.0,Yes,9.0,100.0,0.0,9.0
241,female,19,second,hazel,62.0,111.0,1,0,3.0,Yes,3.0,25.0,0.0,10.0
600,male,20,third,blue,68.0,135.0,2,0,5.0,No,0.0,40.0,12.0,4.0
1001,male,20,second,hazel,69.0,260.0,1,2,10.0,Yes,8.0,75.0,10.0,20.0
752,female,28,third,blue,63.0,35.0,2,0,4.0,Yes,3.0,75.0,1.0,7.0
283,male,21,third,blue,68.0,0.0,1,2,4.0,Yes,6.0,50.0,1.0,8.0
1740,male,20,third,blue,74.0,15.0,0,1,10.0,Yes,10.0,100.0,1.0,9.0
83,male,18,first,green,71.0,215.0,0,2,4.0,Yes,5.0,60.0,0.0,1.0
218,female,20,third,blue,63.0,385.0,0,1,15.0,No,0.0,75.0,1.0,3.0
613,male,22,first,brown,72.0,40.0,0,2,21.0,No,0.0,400.0,24.0,21.0
1840,female,18,first,brown,62.0,45.0,1,1,13.0,Yes,6.5,300.0,1.5,1.5
2055,male,20,second,brown,72.0,140.0,0,1,21.0,No,0.0,150.0,7.0,21.0
574,female,20,third,brown,61.0,200.0,3,6,6.0,Yes,9.0,78.0,5.0,10.0
175,female,22,fourth,brown,65.0,25.0,0,2,4.0,Yes,6.0,50.0,0.0,2.0
245,female,21,fourth,brown,62.0,200.0,5,0,4.0,No,0.0,80.0,1.0,6.0
949,male,19,first,blue,69.0,190.0,0,1,5.0,Yes,6.0,50.0,4.0,3.0
366,male,22,fourth,hazel,74.0,250.0,2,1,2.0,Yes,5.0,200.0,0.0,2.0
1084,female,19,second,blue,67.0,200.0,0,3,20.0,No,0.0,50.0,1.0,7.0
849,female,47,fourth,brown,63.0,0.0,5,2,4.0,Yes,2.0,50.0,0.0,4.0
698,male,20,third,green,74.0,65.0,1,1,2.0,No,0.0,30.0,5.0,15.0
1184,male,21,third,brown,72.0,90.0,3,0,2.0,No,0.0,30.0,0.5,10.0
1211,male,19,first,blue,75.0,160.0,0,1,20.0,No,0.0,10.0,12.0,20.0
1209,female,21,fourth,hazel,66.0,350.0,2,1,10.0,Yes,3.0,25.0,0.0,15.0
1308,female,20,third,brown,67.0,76.0,1,0,6.0,No,0.0,48.0,0.0,6.0
203,female,19,second,blue,71.0,180.0,1,3,15.0,Yes,3.0,100.0,0.5,10.0
519,male,20,third,blue,71.0,300.0,0,1,4.0,Yes,12.0,0.0,1.0,4.5
1706,male,19,second,brown,73.0,642.0,0,1,18.0,Yes,10.0,20.0,5.0,16.0
1963,male,20,third,green,73.0,180.0,1,1,4.0,Yes,10.0,100.0,2.0,12.0
1867,female,18,first,green,76.0,210.0,1,0,25.0,Yes,20.0,50.0,0.0,2.0
327,male,21,third,green,77.0,330.0,2,0,3.0,No,0.0,50.0,2.0,5.0
612,female,20,third,green,69.0,192.0,1,2,10.0,Yes,8.0,50.0,0.0,6.0
668,male,23,other,green,74.0,40.0,4,1,40.0,Yes,2.0,100.0,5.0,20.0
730,female,21,third,brown,67.0,85.0,1,0,5.0,Yes,5.0,10.0,0.0,1.0
974,female,23,other,brown,69.0,30.0,2,1,3.0,Yes,4.0,30.0,0.0,6.0
902,female,23,fourth,brown,62.0,385.0,1,1,4.0,Yes,7.0,85.0,0.0,6.0
1386,female,20,third,blue,64.0,165.0,0,2,10.0,Yes,10.0,100.0,5.0,3.0
838,male,20,second,hazel,71.0,193.0,1,1,4.0,No,0.0,100.0,8.0,4.0
1066,male,18,first,brown,67.0,0.0,1,0,14.0,No,0.0,100.0,3.0,3.0
0,female,18,first,hazel,68.0,195.0,0,1,20.0,Yes,3.0,75.0,6.0,18.0
954,male,20,second,blue,74.0,100.0,0,2,5.0,No,0.0,20.0,0.0,5.0
550,female,20,third,brown,65.0,0.0,1,1,3.0,No,0.0,50.0,0.0,3.0
1763,female,21,third,brown,64.0,0.0,1,0,10.0,Yes,9.0,60.0,0.0,10.0
1265,female,19,second,hazel,70.0,90.0,0,2,15.0,No,0.0,15.0,0.0,10.0
501,male,20,third,blue,79.0,30.0,0,1,5.0,Yes,15.0,50.0,15.0,35.0
147,male,20,second,green,68.0,60.0,0,1,7.0,Yes,3.0,120.0,7.0,25.0
666,female,21,fourth,brown,60.0,250.0,1,0,5.0,No,0.0,120.0,0.0,5.0
1631,female,20,third,brown,69.0,140.0,1,0,15.0,No,0.0,150.0,1.0,2.0
1723,female,20,third,blue,67.0,160.0,2,2,42.0,No,0.0,0.0,1.0,28.0
686,female,19,second,green,68.0,40.0,2,0,15.0,Yes,10.0,50.0,0.0,4.0
1445,female,21,third,blue,65.0,200.0,2,1,14.0,Yes,14.0,20.0,0.0,2.0
773,female,23,other,blue,67.0,300.0,1,1,10.0,Yes,4.0,40.0,0.0,3.0
148,female,20,third,blue,68.0,75.0,1,2,15.0,Yes,3.0,20.0,0.0,0.0
1429,female,22,fourth,hazel,70.0,250.0,0,0,15.0,Yes,0.0,50.0,1.0,5.0
1013,female,21,third,blue,66.0,120.0,0,2,10.0,No,0.0,50.0,0.0,4.0
1271,female,20,second,brown,67.0,300.0,3,1,6.0,Yes,10.0,100.0,2.0,14.0
1207,female,25,third,hazel,64.0,198.0,2,0,15.0,Yes,5.0,40.0,5.0,5.0
581,male,26,first,brown,70.0,5000.0,0,1,20.0,No,0.0,10.0,10.0,10.0
1153,female,20,second,brown,65.0,200.0,1,2,30.0,Yes,5.0,120.0,0.0,10.0
1555,female,21,second,brown,63.0,25000.0,0,0,14.0,No,0.0,30.0,4.0,21.0
185,male,19,second,hazel,73.0,1697.0,1,0,5.0,Yes,5.0,35.0,10.0,5.0
618,male,20,third,brown,72.0,20.0,2,1,12.0,Yes,8.0,300.0,0.0,10.0
943,male,20,second,hazel,74.0,360.0,1,0,10.0,Yes,5.0,0.0,2.0,15.0
127,female,20,third,blue,68.0,150.0,0,1,3.0,Yes,3.5,50.0,0.0,5.0
1656,female,19,second,hazel,70.0,200.0,3,1,2.0,Yes,3.0,32.0,0.0,5.0
1681,female,18,second,blue,67.0,100.0,2,0,15.0,Yes,9.0,75.0,0.0,0.0
648,female,20,third,blue,67.0,225.0,3,0,4.0,Yes,5.0,65.0,2.0,7.0
198,male,20,third,blue,74.0,90.0,1,2,8.0,Yes,10.0,70.0,8.0,2.0
464,male,21,third,other,75.0,45.0,0,2,8.0,Yes,8.0,200.0,0.0,5.0
989,male,19,first,brown,70.0,1412.47,0,2,5.0,Yes,9.0,42.0,0.0,2.0
1111,female,21,third,blue,67.0,0.0,0,1,48.0,No,0.0,150.0,1.0,6.0
1007,male,20,second,green,72.0,300.0,1,1,15.0,Yes,8.0,20.0,2.0,50.0
551,female,20,third,hazel,66.0,50.0,1,0,14.0,Yes,4.5,100.0,0.0,4.0
1650,female,21,fourth,blue,63.0,15.0,0,0,5.0,Yes,10.0,10.0,0.0,2.0
1599,male,20,third,blue,67.0,700.0,0,1,30.0,Yes,7.5,200.0,2.0,15.0
1090,female,23,other,brown,63.0,145.0,1,0,10.0,No,0.0,50.0,5.0,10.0
713,female,36,fourth,blue,71.0,30.0,0,3,10.0,No,0.0,50.0,2.0,5.0
1416,male,23,third,brown,72.0,145.0,1,3,10.0,Yes,8.0,100.0,0.0,2.0
2027,male,21,third,blue,75.0,75.0,1,1,15.0,Yes,45.0,25.0,0.0,10.0
1150,female,18,first,blue,66.0,100.0,2,2,3.0,Yes,10.0,50.0,0.0,6.0
1538,female,19,second,brown,69.0,1039.0,0,1,7.0,Yes,0.0,32.0,5.0,14.0
1758,female,19,second,blue,64.0,300.0,0,1,21.0,Yes,7.0,10.0,0.0,14.0
1591,male,21,fourth,brown,71.0,60.0,0,0,40.0,No,0.0,20.0,0.0,8.0
75,male,23,fourth,blue,74.0,0.0,1,1,8.0,Yes,5.0,500.0,11.0,16.0
401,female,22,fourth,green,66.0,40.0,0,2,10.0,Yes,5.0,35.0,1.0,15.0
1450,female,19,second,brown,67.0,1000.0,1,1,5.0,Yes,5.0,3.0,3.0,12.0
117,female,20,second,green,65.0,288.5,0,2,25.0,No,0.0,47.0,1.0,5.0
1046,male,18,first,hazel,68.0,180.0,0,0,5.0,Yes,3.0,85.0,2.0,1.0
867,female,20,second,blue,64.0,220.0,1,0,20.0,Yes,6.0,25.0,2.0,10.0
1164,female,20,second,hazel,73.0,125.0,2,0,20.0,No,0.0,60.0,0.0,5.0
